Título de trazado: Iner.sumideros.meteo							
N.º	Fecha Tiempo, GMT-05:00	Temp, °C (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbTemp)	HR, % (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbHR)	Lluvia, mm (LGR S/N: 10450278, SEN S/N: 10440752, LBL: Lluvia)	Dirección del viento, ø (LGR S/N: 10450278, SEN S/N: 10468828, LBL: Direccion del viento)	Velocidad del viento, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad del viento)	Velocidad de Ráfagas, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad de rafagas)
14681	07/03/2017 9:01	24.823	82.300	0.00	175.5	0.50	1.76
14682	07/03/2017 9:11	24.919	82.100	0.00	198.0	0.76	2.52
14683	07/03/2017 9:21	24.774	81.800	0.00	172.7	0.76	3.02
14684	07/03/2017 9:31	25.234	81.600	0.00	186.7	0.76	2.27
14685	07/03/2017 9:41	25.089	80.800	0.00	181.1	0.76	2.52
14686	07/03/2017 9:51	25.404	80.400	0.00	189.5	1.01	3.27
14687	07/03/2017 10:01	25.914	80.200	0.00	241.5	0.76	2.77
14688	07/03/2017 10:11	25.137	79.300	0.00	162.9	1.26	3.53
14689	07/03/2017 10:21	26.134	79.600	0.00	165.7	0.50	3.78
14690	07/03/2017 10:31	26.182	79.200	0.00	181.1	1.01	3.02
14691	07/03/2017 10:41	27.136	78.500	0.00	161.5	0.50	2.27
14692	07/03/2017 10:51	26.842	76.400	0.00	192.3	0.50	2.52
14693	07/03/2017 11:01	27.063	76.400	0.00	179.7	1.01	2.77
14694	07/03/2017 11:11	27.924	75.600	0.00	171.3	0.50	2.52
14695	07/03/2017 11:21	27.579	74.700	0.00	199.4	0.76	3.27
14696	07/03/2017 11:31	27.087	75.300	0.00	171.3	1.01	3.02
14697	07/03/2017 11:41	27.702	75.000	0.00	160.0	1.01	2.77
14698	07/03/2017 11:51	27.210	73.600	0.00	144.6	1.51	3.78
14699	07/03/2017 12:01	28.048	73.200	0.00	160.0	1.01	3.02
14700	07/03/2017 12:11	28.493	71.200	0.00	157.2	1.01	3.27
14701	07/03/2017 12:21	28.394	71.300	0.00	182.5	1.76	4.53
14702	07/03/2017 12:31	28.717	70.300	0.00	185.3	1.01	2.52
14703	07/03/2017 12:41	29.865	69.400	0.00	182.5	0.76	2.52
14704	07/03/2017 12:51	30.545	67.700	0.00	214.8	0.76	3.02
14705	07/03/2017 13:01	29.065	66.900	0.00	285.0	1.01	4.28
14706	07/03/2017 13:11	29.464	69.200	0.00	136.2	1.76	4.28
14707	07/03/2017 13:21	29.916	68.600	0.00	15.4	1.01	3.78
14708	07/03/2017 13:31	29.464	68.000	0.00	293.4	1.51	4.28
14709	07/03/2017 13:41	29.515	67.700	0.00	168.5	1.26	4.78
14710	07/03/2017 13:51	30.520	67.700	0.00	254.1	0.76	2.52
14711	07/03/2017 14:01	30.672	66.100	0.00	228.8	1.01	3.78
14712	07/03/2017 14:11	30.900	66.500	0.00	141.8	1.26	3.27
14713	07/03/2017 14:21	30.444	65.700	0.00	160.0	1.26	3.78
14714	07/03/2017 14:31	31.996	64.200	0.00	216.2	0.76	3.02
14715	07/03/2017 14:41	31.459	61.100	0.00	164.3	0.76	3.53
14716	07/03/2017 14:51	31.637	60.700	0.00	182.5	1.01	3.02
14717	07/03/2017 15:01	30.824	60.000	0.00	185.3	1.26	4.53
14718	07/03/2017 15:11	30.520	61.300	0.00	171.3	1.26	4.53
14719	07/03/2017 15:21	29.615	62.400	0.00	169.9	1.76	5.79
14720	07/03/2017 15:31	30.394	63.700	0.00	199.4	1.01	3.78
14721	07/03/2017 15:41	29.815	64.100	0.00	207.8	1.51	4.03
14722	07/03/2017 15:51	30.469	65.000	0.00	297.6	1.26	4.03
14723	07/03/2017 16:01	29.890	66.900	0.00	301.8	1.76	3.53
14724	07/03/2017 16:11	29.240	68.300	0.00	292.0	1.51	4.28
14725	07/03/2017 16:21	28.941	70.600	0.00	276.6	1.51	3.53
14726	07/03/2017 16:31	29.065	71.000	0.00	296.2	1.26	3.02
14727	07/03/2017 16:41	29.490	70.300	0.00	254.1	1.51	3.53
14728	07/03/2017 16:51	29.240	70.300	0.00	292.0	1.26	2.77
14729	07/03/2017 17:01	29.040	70.500	0.00	287.8	1.26	4.03
14730	07/03/2017 17:11	29.040	70.900	0.00	285.0	1.01	3.53
14731	07/03/2017 17:21	28.766	71.700	0.00	283.6	1.01	2.77
14732	07/03/2017 17:31	28.816	71.400	0.00	266.7	1.26	2.77
14733	07/03/2017 17:41	29.015	70.700	0.00	73.0	1.26	3.02
14734	07/03/2017 17:51	28.816	70.500	0.00	259.7	0.76	2.27
14735	07/03/2017 18:01	28.270	71.200	0.00	174.1	1.01	3.02
14736	07/03/2017 18:11	28.122	71.800	0.00	157.2	0.76	2.52
14737	07/03/2017 18:21	28.147	72.300	0.00	219.0	0.76	2.77
14738	07/03/2017 18:31	28.072	72.400	0.00	153.0	0.76	2.01
14739	07/03/2017 18:41	27.974	72.300	0.00	175.5	1.01	2.27
14740	07/03/2017 18:51	27.949	72.500	0.00	143.2	0.76	2.27
14741	07/03/2017 19:01	28.196	72.600	0.00	165.7	0.50	2.27
14742	07/03/2017 19:11	28.048	72.500	0.00	182.5	0.50	2.52
14743	07/03/2017 19:21	27.974	72.100	0.00	185.3	0.76	2.77
14744	07/03/2017 19:31	27.899	71.300	0.00	190.9	0.76	2.52
14745	07/03/2017 19:41	27.924	71.200	0.00	171.3	0.50	2.52
14746	07/03/2017 19:51	27.825	70.500	0.00	190.9	0.76	3.02
14747	07/03/2017 20:01	27.186	72.100	0.00	188.1	1.26	4.53
14748	07/03/2017 20:11	26.671	76.100	0.00	193.7	1.51	5.04
14749	07/03/2017 20:21	26.451	78.200	0.00	195.1	1.01	4.28
14750	07/03/2017 20:31	26.134	79.700	0.00	202.2	1.26	3.78
14751	07/03/2017 20:41	25.914	81.600	0.00	189.5	1.51	3.53
14752	07/03/2017 20:51	25.671	82.600	0.00	196.5	1.26	3.53
14753	07/03/2017 21:01	25.647	83.800	0.00	196.5	1.26	3.78
14754	07/03/2017 21:11	25.258	84.400	0.00	189.5	1.76	5.54
14755	07/03/2017 21:21	25.210	84.400	0.00	207.8	1.51	4.28
14756	07/03/2017 21:31	24.919	83.800	0.00	209.2	1.76	4.53
14757	07/03/2017 21:41	24.823	84.200	0.00	205.0	1.51	5.04
14758	07/03/2017 21:51	24.581	84.500	0.00	198.0	1.51	4.78
14759	07/03/2017 22:01	24.412	85.200	0.00	196.5	1.26	5.04
14760	07/03/2017 22:11	24.267	85.700	0.00	203.6	2.01	5.29
14761	07/03/2017 22:21	24.098	86.200	0.00	199.4	1.01	3.53
14762	07/03/2017 22:31	23.665	87.100	0.00	199.4	1.26	4.28
14763	07/03/2017 22:41	23.424	88.100	0.00	188.1	1.51	5.79
14764	07/03/2017 22:51	23.208	88.800	0.00	176.9	1.51	4.03
14765	07/03/2017 23:01	23.112	89.200	0.00	203.6	1.76	4.78
14766	07/03/2017 23:11	22.920	89.700	0.00	198.0	1.51	5.54
14767	07/03/2017 23:21	22.776	90.300	0.00	192.3	1.76	4.78
14768	07/03/2017 23:31	22.681	90.900	0.00	202.2	2.27	6.04
14769	07/03/2017 23:41	22.681	91.400	0.00	210.6	2.01	6.30
14770	07/03/2017 23:51	22.657	91.600	0.00	214.8	2.01	5.79
14771	07/04/2017 0:01	22.537	91.700	0.00	192.3	1.76	4.53
14772	07/04/2017 0:11	22.657	91.900	0.00	181.1	1.26	4.28
14773	07/04/2017 0:21	22.681	91.700	0.00	195.1	1.51	4.78
14774	07/04/2017 0:31	22.681	91.600	0.00	198.0	2.01	5.29
14775	07/04/2017 0:41	22.585	91.700	0.00	214.8	1.76	5.54
14776	07/04/2017 0:51	22.824	91.700	0.00	199.4	1.01	3.78
14777	07/04/2017 1:01	22.561	91.400	0.00	207.8	1.76	5.04
14778	07/04/2017 1:11	22.609	91.800	0.00	195.1	1.51	5.04
14779	07/04/2017 1:21	22.537	91.800	0.00	190.9	1.01	4.28
14780	07/04/2017 1:31	22.489	91.700	0.00	206.4	1.51	4.03
14781	07/04/2017 1:41	22.489	91.800	0.00	209.2	2.01	7.30
14782	07/04/2017 1:51	22.465	91.900	0.00	206.4	1.51	5.79
14783	07/04/2017 2:01	22.561	91.700	0.00	237.3	0.50	2.52
14784	07/04/2017 2:11	22.657	91.400	0.00	183.9	0.25	1.51
14785	07/04/2017 2:21	22.441	91.200	0.00	190.9	0.50	3.02
14786	07/04/2017 2:31	22.250	91.600	0.00	212.0	1.51	4.03
14787	07/04/2017 2:41	22.226	92.200	0.00	209.2	1.51	4.28
14788	07/04/2017 2:51	22.226	92.500	0.00	206.4	1.01	2.77
14789	07/04/2017 3:01	22.250	92.600	0.00	205.0	1.01	3.27
14790	07/04/2017 3:11	22.274	92.700	0.00	199.4	1.01	4.78
14791	07/04/2017 3:21	22.082	92.800	0.00	195.1	1.26	4.28
14792	07/04/2017 3:31	22.011	92.800	0.00	202.2	1.26	4.78
14793	07/04/2017 3:41	22.034	92.900	0.00	202.2	1.26	3.53
14794	07/04/2017 3:51	21.891	93.000	0.00	198.0	1.26	3.78
14795	07/04/2017 4:01	21.915	93.000	0.00	195.1	1.01	4.78
14796	07/04/2017 4:11	21.963	93.000	0.00	203.6	1.26	4.78
14797	07/04/2017 4:21	21.915	92.900	0.00	212.0	1.51	4.03
14798	07/04/2017 4:31	21.891	92.900	0.00	207.8	1.26	4.28
14799	07/04/2017 4:41	21.867	93.000	0.00	203.6	1.26	4.03
14800	07/04/2017 4:51	21.748	93.100	0.00	203.6	1.51	4.28
14801	07/04/2017 5:01	21.652	93.300	0.00	206.4	1.51	4.28
14802	07/04/2017 5:11	21.724	93.300	0.00	200.8	0.76	3.27
14803	07/04/2017 5:21	21.676	93.200	0.00	196.5	1.01	3.78
14804	07/04/2017 5:31	21.652	93.100	0.00	203.6	1.01	3.53
14805	07/04/2017 5:41	21.843	93.100	0.00	186.7	1.26	3.78
14806	07/04/2017 5:51	21.604	93.000	0.00	205.0	1.26	4.53
14807	07/04/2017 6:01	21.485	93.100	0.00	190.9	1.26	3.27
14808	07/04/2017 6:11	21.485	93.200	0.00	216.2	1.01	3.02
14809	07/04/2017 6:21	21.485	93.200	0.00	200.8	0.76	3.53
14810	07/04/2017 6:31	21.509	93.100	0.00	199.4	1.01	2.77
14811	07/04/2017 6:41	21.509	93.000	0.00	200.8	1.26	3.53
14812	07/04/2017 6:51	21.557	92.800	0.00	200.8	1.26	4.28
14813	07/04/2017 7:01	21.724	92.700	0.00	209.2	1.26	3.53
14814	07/04/2017 7:11	21.772	92.500	0.00	217.6	1.26	4.03
14815	07/04/2017 7:21	21.724	92.500	0.00	200.8	1.26	4.28
14816	07/04/2017 7:31	22.082	92.500	0.00	196.5	1.26	4.53
14817	07/04/2017 7:41	21.915	92.200	0.00	192.3	0.76	3.78
14818	07/04/2017 7:51	21.939	92.000	0.00	178.3	0.76	3.53
14819	07/04/2017 8:01	22.011	91.900	0.00	188.1	1.26	4.03
14820	07/04/2017 8:11	22.298	91.600	0.00	195.1	1.76	4.78
14821	07/04/2017 8:21	22.417	90.800	0.00	185.3	1.76	4.28
14822	07/04/2017 8:31	22.417	90.300	0.00	198.0	1.51	4.78
14823	07/04/2017 8:41	22.465	90.300	0.00	189.5	1.51	4.03
14824	07/04/2017 8:51	22.250	90.100	0.00	181.1	1.51	4.03
14825	07/04/2017 9:01	22.585	90.100	0.00	198.0	1.51	4.28
14826	07/04/2017 9:11	23.184	89.300	0.00	185.3	1.01	3.27
14827	07/04/2017 9:21	23.497	88.000	0.00	176.9	1.01	3.02
14828	07/04/2017 9:31	23.569	86.900	0.00	185.3	1.26	3.53
14829	07/04/2017 9:41	23.665	86.200	0.00	175.5	1.26	3.27
14830	07/04/2017 9:51	24.388	85.400	0.00	181.1	1.01	3.27
14831	07/04/2017 10:01	24.798	84.500	0.00	185.3	1.01	3.02
14832	07/04/2017 10:11	25.841	83.400	0.00	202.2	0.25	2.01
14833	07/04/2017 10:21	25.550	81.500	0.00	189.5	0.76	2.27
14834	07/04/2017 10:31	25.137	81.000	0.00	172.7	0.50	2.01
14835	07/04/2017 10:41	25.380	81.500	0.00	195.1	1.01	3.02
14836	07/04/2017 10:51	25.404	81.100	0.00	190.9	0.76	3.02
14837	07/04/2017 11:01	25.404	81.600	0.00	188.1	1.26	4.28
14838	07/04/2017 11:11	25.162	81.800	0.00	199.4	1.26	4.28
14839	07/04/2017 11:21	24.992	81.800	0.00	178.3	1.01	2.77
14840	07/04/2017 11:31	24.944	81.700	0.00	203.6	0.76	3.27
14841	07/04/2017 11:41	24.871	81.800	0.00	171.3	1.01	2.77
14842	07/04/2017 11:51	25.234	81.600	0.00	189.5	0.76	2.77
14843	07/04/2017 12:01	24.581	81.600	0.00	181.1	1.01	4.03
14844	07/04/2017 12:11	24.629	82.300	0.00	140.4	1.01	3.02
14845	07/04/2017 12:21	24.363	82.600	0.00	178.3	1.26	3.02
14846	07/04/2017 12:31	25.477	82.700	0.00	141.8	0.76	2.52
14847	07/04/2017 12:41	25.671	81.100	0.00	192.3	0.76	3.78
14848	07/04/2017 12:51	25.258	81.100	0.00	181.1	1.26	3.27
14849	07/04/2017 13:01	25.841	81.200	0.00	193.7	0.76	3.02
14850	07/04/2017 13:11	25.768	80.400	0.00	169.9	0.76	2.52
14851	07/04/2017 13:21	25.744	80.200	0.00	205.0	1.01	4.28
14852	07/04/2017 13:31	25.695	80.700	0.00	206.4	1.51	3.78
14853	07/04/2017 13:41	25.817	80.500	0.00	198.0	1.01	3.27
14854	07/04/2017 13:51	26.451	80.400	0.00	205.0	1.01	3.27
14855	07/04/2017 14:01	27.136	79.700	0.00	185.3	1.01	3.02
14856	07/04/2017 14:11	27.308	78.800	0.00	198.0	0.76	3.02
14857	07/04/2017 14:21	27.333	77.900	0.00	192.3	0.76	2.27
14858	07/04/2017 14:31	27.038	76.800	0.00	198.0	1.26	3.53
14859	07/04/2017 14:41	27.407	77.800	0.00	183.9	1.01	3.27
14860	07/04/2017 14:51	28.072	75.900	0.00	176.9	0.76	2.77
14861	07/04/2017 15:01	28.023	74.400	0.00	150.2	0.76	3.78
14862	07/04/2017 15:11	26.989	75.600	0.00	189.5	1.51	4.03
14863	07/04/2017 15:21	27.308	77.300	0.00	227.4	0.76	3.02
14864	07/04/2017 15:31	27.407	77.400	0.00	193.7	1.01	3.27
14865	07/04/2017 15:41	27.112	76.700	0.00	174.1	1.01	3.53
14866	07/04/2017 15:51	28.270	76.200	0.00	193.7	0.76	2.52
14867	07/04/2017 16:01	28.320	74.800	0.00	155.8	0.76	2.77
14868	07/04/2017 16:11	28.493	74.300	0.00	172.7	0.50	2.27
14869	07/04/2017 16:21	28.369	74.300	0.00	146.0	0.76	3.27
14870	07/04/2017 16:31	28.965	74.600	0.00	155.8	0.76	4.03
14871	07/04/2017 16:41	28.196	73.400	0.00	195.1	0.76	3.02
14872	07/04/2017 16:51	27.825	74.400	0.00	192.3	1.26	3.78
14873	07/04/2017 17:01	27.431	75.500	0.00	190.9	1.26	5.79
14874	07/04/2017 17:11	27.456	77.400	0.00	196.5	1.76	5.04
14875	07/04/2017 17:21	26.965	77.000	0.00	203.6	1.26	3.53
14876	07/04/2017 17:31	26.280	78.200	0.00	205.0	1.51	4.78
14877	07/04/2017 17:41	26.524	79.200	0.00	198.0	1.26	4.03
14878	07/04/2017 17:51	25.768	79.700	0.00	186.7	1.51	3.78
14879	07/04/2017 18:01	25.404	80.900	0.00	175.5	2.27	5.29
14880	07/04/2017 18:11	25.574	81.600	0.00	185.3	1.51	4.53
14881	07/04/2017 18:21	25.598	81.900	0.00	193.7	1.51	4.28
14882	07/04/2017 18:31	25.234	82.000	0.00	190.9	2.01	6.04
14883	07/04/2017 18:41	25.210	82.800	0.00	181.1	1.51	4.03
14884	07/04/2017 18:51	24.871	83.200	0.00	190.9	2.01	5.54
14885	07/04/2017 19:01	24.798	84.000	0.00	190.9	2.01	5.29
14886	07/04/2017 19:11	24.871	85.000	0.00	186.7	2.01	5.79
14887	07/04/2017 19:21	24.750	85.300	0.00	190.9	1.76	5.29
14888	07/04/2017 19:31	24.557	85.700	0.00	193.7	1.76	5.04
14889	07/04/2017 19:41	24.460	86.300	0.00	178.3	1.51	4.78
14890	07/04/2017 19:51	24.557	86.800	0.00	205.0	1.51	4.03
14891	07/04/2017 20:01	24.388	87.000	0.00	190.9	1.76	4.78
14892	07/04/2017 20:11	24.146	85.900	0.00	199.4	1.51	5.29
14893	07/04/2017 20:21	23.881	85.000	0.00	209.2	1.76	5.29
14894	07/04/2017 20:31	23.833	85.100	0.00	181.1	1.26	4.28
14895	07/04/2017 20:41	23.761	85.300	0.00	181.1	0.76	4.03
14896	07/04/2017 20:51	23.569	85.500	0.00	193.7	1.51	4.53
14897	07/04/2017 21:01	23.424	86.100	0.00	207.8	1.51	6.04
14898	07/04/2017 21:11	23.280	86.400	0.00	186.7	1.26	4.28
14899	07/04/2017 21:21	23.232	86.600	0.00	178.3	1.51	4.28
14900	07/04/2017 21:31	23.208	86.700	0.00	124.9	0.76	3.27
14901	07/04/2017 21:41	23.136	86.700	0.00	132.0	0.76	3.53
14902	07/04/2017 21:51	23.184	86.900	0.00	127.8	0.76	2.77
14903	07/04/2017 22:01	23.280	86.800	0.00	133.4	0.76	3.02
14904	07/04/2017 22:11	23.376	86.400	0.00	143.2	0.50	2.52
14905	07/04/2017 22:21	23.424	86.100	0.00	143.2	0.50	2.01
14906	07/04/2017 22:31	23.569	85.900	0.00	123.5	0.50	2.27
14907	07/04/2017 22:41	23.641	85.400	0.00	134.8	0.25	3.02
14908	07/04/2017 22:51	23.641	85.300	0.00	174.1	0.00	1.01
14909	07/04/2017 23:01	23.713	85.200	0.00	244.3	0.00	1.51
14910	07/04/2017 23:11	23.617	85.100	0.00	247.1	0.00	1.01
14911	07/04/2017 23:21	23.472	85.300	0.00	155.8	0.00	1.26
14912	07/04/2017 23:31	23.088	85.600	0.00	198.0	0.00	1.26
14913	07/04/2017 23:41	22.896	86.400	0.00	189.5	0.00	0.76
14914	07/04/2017 23:51	22.729	87.200	0.00	190.9	0.00	1.26
14915	07/05/2017 0:01	22.489	88.000	0.00	183.9	0.76	2.27
14916	07/05/2017 0:11	22.393	88.500	0.00	182.5	0.50	2.52
14917	07/05/2017 0:21	22.226	89.100	0.00	171.3	1.26	2.77
14918	07/05/2017 0:31	22.154	89.700	0.00	183.9	1.01	2.27
14919	07/05/2017 0:41	22.250	90.100	0.00	195.1	0.50	2.27
14920	07/05/2017 0:51	22.250	90.200	0.00	196.5	0.25	1.76
14921	07/05/2017 1:01	22.106	90.300	0.00	209.2	0.25	2.27
14922	07/05/2017 1:11	22.106	90.700	0.00	198.0	0.25	1.76
14923	07/05/2017 1:21	22.082	91.000	0.00	205.0	0.00	1.51
14924	07/05/2017 1:31	21.676	91.400	0.00	185.3	0.50	2.27
14925	07/05/2017 1:41	21.700	92.000	0.00	175.5	0.50	2.27
14926	07/05/2017 1:51	21.509	92.600	0.00	186.7	1.01	3.27
14927	07/05/2017 2:01	21.413	93.200	0.00	195.1	1.26	4.03
14928	07/05/2017 2:11	21.342	93.600	0.00	183.9	1.01	3.02
14929	07/05/2017 2:21	21.413	93.900	0.00	207.8	1.01	3.02
14930	07/05/2017 2:31	21.461	94.000	0.00	198.0	0.76	3.27
14931	07/05/2017 2:41	21.079	94.100	0.00	205.0	1.26	4.53
14932	07/05/2017 2:51	21.151	94.400	0.00	203.6	1.01	3.78
14933	07/05/2017 3:01	21.175	94.500	0.00	186.7	0.76	3.53
14934	07/05/2017 3:11	21.318	94.600	0.00	178.3	0.76	3.78
14935	07/05/2017 3:21	21.246	94.500	0.00	214.8	1.01	3.27
14936	07/05/2017 3:31	21.223	94.600	0.00	200.8	1.01	3.27
14937	07/05/2017 3:41	21.246	94.600	0.00	200.8	1.01	3.27
14938	07/05/2017 3:51	21.246	94.600	0.00	206.4	1.01	4.03
14939	07/05/2017 4:01	21.342	94.600	0.00	212.0	1.26	4.78
14940	07/05/2017 4:11	21.437	94.500	0.00	200.8	0.76	4.03
14941	07/05/2017 4:21	21.342	94.300	0.00	207.8	1.26	4.03
14942	07/05/2017 4:31	21.294	94.300	0.00	210.6	1.26	4.03
14943	07/05/2017 4:41	21.294	94.300	0.00	205.0	0.76	3.02
14944	07/05/2017 4:51	21.294	94.400	0.00	207.8	0.76	3.27
14945	07/05/2017 5:01	21.270	94.300	0.00	195.1	0.76	3.27
14946	07/05/2017 5:11	21.318	94.400	0.00	224.6	0.76	3.27
14947	07/05/2017 5:21	21.270	94.400	0.00	214.8	0.76	3.27
14948	07/05/2017 5:31	21.175	94.500	0.00	195.1	1.01	3.27
14949	07/05/2017 5:41	21.270	94.600	0.00	214.8	0.76	3.02
14950	07/05/2017 5:51	21.103	94.500	0.00	205.0	1.01	4.03
14951	07/05/2017 6:01	21.246	94.600	0.00	217.6	0.50	2.27
14952	07/05/2017 6:11	21.246	94.600	0.00	190.9	0.25	2.27
14953	07/05/2017 6:21	21.366	94.600	0.00	181.1	0.00	1.26
14954	07/05/2017 6:31	21.461	94.500	0.00	220.4	0.00	0.50
14955	07/05/2017 6:41	21.533	94.300	0.00	220.4	0.00	0.50
14956	07/05/2017 6:51	21.628	94.000	0.00	220.4	0.00	0.25
14957	07/05/2017 7:01	21.819	94.000	0.00	220.4	0.00	0.50
14958	07/05/2017 7:11	22.226	93.800	0.00	220.4	0.00	0.25
14959	07/05/2017 7:21	22.345	93.400	0.00	219.0	0.00	0.76
14960	07/05/2017 7:31	22.657	92.800	0.00	213.4	0.00	0.50
14961	07/05/2017 7:41	22.848	91.900	0.00	207.8	0.00	0.76
14962	07/05/2017 7:51	22.753	90.900	0.00	160.0	0.25	1.51
14963	07/05/2017 8:01	22.896	90.400	0.00	190.9	0.25	1.76
14964	07/05/2017 8:11	22.944	90.100	0.00	179.7	0.25	2.27
14965	07/05/2017 8:21	23.208	89.800	0.00	198.0	0.25	1.51
14966	07/05/2017 8:31	23.136	89.300	0.00	199.4	0.50	1.76
14967	07/05/2017 8:41	23.232	89.100	0.00	185.3	0.50	2.52
14968	07/05/2017 8:51	23.472	88.800	0.00	202.2	0.25	1.51
14969	07/05/2017 9:01	23.521	88.200	0.00	195.1	0.25	1.51
14970	07/05/2017 9:11	23.641	87.900	0.00	188.1	0.25	1.51
14971	07/05/2017 9:21	23.448	87.500	0.00	198.0	0.76	2.27
14972	07/05/2017 9:31	23.545	87.800	0.00	199.4	0.76	2.52
14973	07/05/2017 9:41	23.689	87.700	0.00	200.8	0.76	2.52
14974	07/05/2017 9:51	23.930	87.400	0.00	189.5	0.50	1.76
14975	07/05/2017 10:01	24.146	87.100	0.00	192.3	0.50	2.01
14976	07/05/2017 10:11	24.243	86.800	0.00	193.7	0.50	2.01
14977	07/05/2017 10:21	24.002	86.600	0.00	192.3	1.01	2.77
14978	07/05/2017 10:31	24.460	86.700	0.00	212.0	0.76	2.27
14979	07/05/2017 10:41	24.847	85.900	0.00	203.6	0.25	1.76
14980	07/05/2017 10:51	25.016	85.100	0.00	203.6	0.50	1.76
14981	07/05/2017 11:01	25.016	84.600	0.00	178.3	0.25	2.01
14982	07/05/2017 11:11	25.671	83.800	0.00	178.3	0.25	1.51
14983	07/05/2017 11:21	25.477	82.300	0.00	190.9	0.76	3.27
14984	07/05/2017 11:31	25.720	81.500	0.00	202.2	0.50	3.27
14985	07/05/2017 11:41	25.963	80.900	0.00	178.3	0.76	2.27
14986	07/05/2017 11:51	26.085	80.400	0.00	185.3	1.01	3.02
14987	07/05/2017 12:01	26.061	79.700	0.00	188.1	1.01	2.77
14988	07/05/2017 12:11	26.646	79.800	0.00	196.5	0.76	2.27
14989	07/05/2017 12:21	26.378	78.700	0.00	155.8	0.50	2.27
14990	07/05/2017 12:31	26.573	78.100	0.00	256.9	0.50	2.01
14991	07/05/2017 12:41	26.402	77.700	0.00	190.9	0.50	2.27
14992	07/05/2017 12:51	26.793	77.900	0.00	214.8	0.50	2.27
14993	07/05/2017 13:01	26.818	77.500	0.00	174.1	0.25	1.51
14994	07/05/2017 13:11	26.524	77.200	0.00	151.6	0.25	1.76
14995	07/05/2017 13:21	26.940	77.100	0.00	196.5	0.25	1.76
14996	07/05/2017 13:31	26.769	76.300	0.00	198.0	0.00	1.51
14997	07/05/2017 13:41	26.793	76.400	0.00	193.7	0.25	2.01
14998	07/05/2017 13:51	26.891	76.500	0.00	185.3	0.25	1.51
14999	07/05/2017 14:01	26.940	76.500	0.00	199.4	0.00	1.01
15000	07/05/2017 14:11	26.842	76.400	0.00	219.0	0.25	1.51
15001	07/05/2017 14:21	26.622	76.200	0.00	140.4	0.50	2.01
15002	07/05/2017 14:31	27.014	76.800	0.00	238.7	0.25	1.76
15003	07/05/2017 14:41	26.500	77.600	0.00	237.3	1.01	3.02
15004	07/05/2017 14:51	26.646	78.800	0.00	275.2	0.76	2.27
15005	07/05/2017 15:01	26.475	78.200	0.00	219.0	1.01	3.53
15006	07/05/2017 15:11	26.329	78.500	0.00	198.0	1.26	2.77
15007	07/05/2017 15:21	26.426	78.700	0.00	283.6	1.01	2.52
15008	07/05/2017 15:31	26.353	78.800	0.00	238.7	0.76	2.52
15009	07/05/2017 15:41	26.085	78.700	0.00	237.3	1.01	2.77
15010	07/05/2017 15:51	26.182	78.700	0.00	185.3	1.01	3.27
15011	07/05/2017 16:01	26.280	79.000	0.00	283.6	0.76	2.77
15012	07/05/2017 16:11	26.134	79.000	0.00	221.8	0.76	2.27
15013	07/05/2017 16:21	26.182	78.800	0.00	157.2	0.76	2.52
15014	07/05/2017 16:31	26.378	77.900	0.00	198.0	0.25	2.27
15015	07/05/2017 16:41	26.280	77.500	0.00	155.8	0.50	2.01
15016	07/05/2017 16:51	26.451	77.300	0.00	183.9	0.25	1.51
15017	07/05/2017 17:01	26.231	76.700	0.00	334.1	1.01	3.27
15018	07/05/2017 17:11	26.353	76.100	0.00	154.4	1.26	2.77
15019	07/05/2017 17:21	26.353	76.200	0.00	282.2	0.76	2.27
15020	07/05/2017 17:31	26.134	76.400	0.00	206.4	0.76	2.27
15021	07/05/2017 17:41	26.231	76.700	0.00	212.0	0.76	2.27
15022	07/05/2017 17:51	26.109	76.200	0.00	199.4	1.01	2.52
15023	07/05/2017 18:01	26.158	76.200	0.00	162.9	0.76	2.52
15024	07/05/2017 18:11	26.329	76.400	0.00	181.1	0.50	1.76
15025	07/05/2017 18:21	26.207	76.600	0.00	158.6	0.25	2.01
15026	07/05/2017 18:31	25.963	77.600	0.00	171.3	0.50	2.27
15027	07/05/2017 18:41	25.914	78.600	0.00	207.8	0.76	2.52
15028	07/05/2017 18:51	25.744	79.500	0.00	193.7	0.50	2.52
15029	07/05/2017 19:01	25.550	80.300	0.00	172.7	0.76	3.02
15030	07/05/2017 19:11	25.501	80.800	0.00	188.1	0.76	3.02
15031	07/05/2017 19:21	25.404	81.100	0.00	189.5	0.50	2.27
15032	07/05/2017 19:31	25.428	81.500	0.00	183.9	0.76	2.77
15033	07/05/2017 19:41	25.307	81.400	0.00	189.5	1.01	3.27
15034	07/05/2017 19:51	25.186	81.300	0.00	182.5	1.26	3.78
15035	07/05/2017 20:01	25.065	82.100	0.00	193.7	0.76	2.27
15036	07/05/2017 20:11	24.871	83.400	0.00	209.2	0.50	2.52
15037	07/05/2017 20:21	24.629	84.900	0.00	210.6	0.50	2.77
15038	07/05/2017 20:31	24.557	86.200	0.00	217.6	0.76	3.02
15039	07/05/2017 20:41	24.412	86.900	0.00	212.0	0.50	2.77
